nombre,lenguaje,estrellas,forks,watchers,fecha_creacion,fecha_actualizacion
build-your-own-x,Markdown,472895,44330,472895,2018-05-09T12:03:18Z,2026-03-06T22:36:35Z
awesome,Desconocido,443117,33401,443117,2014-07-11T13:42:37Z,2026-03-06T22:39:39Z
freeCodeCamp,TypeScript,437843,43524,437843,2014-12-24T17:49:19Z,2026-03-06T22:44:45Z
public-apis,Python,404789,43689,404789,2016-03-20T23:49:42Z,2026-03-06T22:43:48Z
free-programming-books,Python,383680,66012,383680,2013-10-11T06:50:37Z,2026-03-06T21:31:05Z
developer-roadmap,TypeScript,350327,43742,350327,2017-03-15T13:45:52Z,2026-03-06T22:37:50Z
coding-interview-university,Desconocido,337639,81644,337639,2016-06-06T02:34:12Z,2026-03-06T22:20:30Z
system-design-primer,Python,337634,54703,337634,2017-02-26T16:15:28Z,2026-03-06T22:29:04Z
awesome-python,Python,285905,27303,285905,2014-06-27T21:00:06Z,2026-03-06T22:27:27Z
awesome-selfhosted,Desconocido,277988,12688,277988,2015-06-01T02:33:17Z,2026-03-06T22:51:14Z
996.ICU,Desconocido,275670,20951,275670,2019-03-26T07:31:14Z,2026-03-06T21:27:35Z
openclaw,TypeScript,270813,51735,270813,2025-11-24T10:16:47Z,2026-03-06T22:52:11Z
project-based-learning,Desconocido,260387,33909,260387,2017-04-12T05:07:46Z,2026-03-06T22:33:10Z
react,JavaScript,243681,50661,243681,2013-05-24T16:15:54Z,2026-03-06T21:40:08Z
linux,C,221220,60813,221220,2011-09-04T22:48:12Z,2026-03-06T22:33:28Z
Python,Python,218396,50120,218396,2016-07-16T09:44:01Z,2026-03-06T21:28:52Z
vue,TypeScript,209961,33866,209961,2013-07-29T03:24:51Z,2026-03-06T22:25:08Z
the-book-of-secret-knowledge,Desconocido,208940,12556,208940,2018-06-23T10:43:14Z,2026-03-06T22:41:21Z
computer-science,HTML,202181,25121,202181,2014-05-04T00:18:39Z,2026-03-06T22:46:01Z
javascript-algorithms,JavaScript,195747,31113,195747,2018-03-24T07:47:04Z,2026-03-06T21:21:14Z
tensorflow,C++,194017,75221,194017,2015-11-07T01:19:20Z,2026-03-06T22:49:13Z
ohmyzsh,Shell,185150,26307,185150,2009-08-28T18:15:37Z,2026-03-06T22:43:44Z
You-Dont-Know-JS,Desconocido,184466,33630,184466,2013-11-16T02:37:24Z,2026-03-06T21:37:17Z
CS-Notes,Desconocido,183827,51166,183827,2018-02-13T14:56:24Z,2026-03-06T19:17:14Z
vscode,TypeScript,182368,38327,182368,2015-09-03T20:23:38Z,2026-03-06T22:50:55Z
AutoGPT,Python,182227,46204,182227,2023-03-16T09:21:07Z,2026-03-06T22:25:10Z
Python-100-Days,Jupyter Notebook,179331,55479,179331,2018-03-01T16:05:52Z,2026-03-06T18:51:38Z
n8n,TypeScript,177918,55504,177918,2019-06-22T09:24:21Z,2026-03-06T22:49:19Z
flutter,Dart,175452,30084,175452,2015-03-06T22:54:58Z,2026-03-06T22:23:47Z
bootstrap,MDX,174028,79062,174028,2011-07-29T21:19:00Z,2026-03-06T20:16:40Z
gitignore,Desconocido,172865,82788,172865,2010-11-08T20:17:14Z,2026-03-06T21:27:21Z
Microsoft-Activation-Scripts,Batchfile,167903,16158,167903,2020-01-12T23:03:34Z,2026-03-06T22:41:41Z
awesome-go,Go,166726,13019,166726,2014-07-06T13:42:15Z,2026-03-06T22:32:42Z
ollama,Go,164291,14803,164291,2023-06-26T19:39:32Z,2026-03-06T22:48:30Z
stable-diffusion-webui,Python,161523,30124,161523,2022-08-22T14:05:26Z,2026-03-06T19:54:57Z
the-art-of-command-line,Desconocido,160126,14772,160126,2015-05-20T15:11:03Z,2026-03-06T22:39:30Z
transformers,Python,157498,32311,157498,2018-10-29T13:56:00Z,2026-03-06T22:11:05Z
JavaGuide,Java,154083,46126,154083,2018-05-07T13:27:00Z,2026-03-06T20:53:36Z
FreeDomain,HTML,150996,2607,150996,2024-05-30T13:23:00Z,2026-03-06T22:29:10Z
prompts.chat,HTML,150370,19752,150370,2022-12-05T13:54:13Z,2026-03-06T22:40:53Z
yt-dlp,Python,149923,12145,149923,2020-10-26T04:22:55Z,2026-03-06T22:32:54Z
javascript,JavaScript,148099,26775,148099,2012-11-01T23:13:50Z,2026-03-06T21:40:35Z
langflow,Python,145326,8526,145326,2023-02-08T22:28:03Z,2026-03-06T22:09:42Z
HelloGitHub,Python,145032,11175,145032,2016-05-04T06:24:11Z,2026-03-06T22:30:07Z
youtube-dl,Python,139807,10601,139807,2010-10-31T14:35:07Z,2026-03-06T21:34:53Z
next.js,JavaScript,138189,30562,138189,2016-10-05T23:32:51Z,2026-03-06T22:51:21Z
tech-interview-handbook,TypeScript,138012,16470,138012,2016-07-05T05:00:48Z,2026-03-06T22:25:32Z
scrcpy,C,136587,12722,136587,2017-11-21T18:00:27Z,2026-03-06T22:50:28Z
